,sector,state,district,sex,age,cwstype,wage,edu_cat,log_wage
105369,1,Himachal Pradesh,11,male,41,self employed,12500,Secondary & higher,9.433483923
143044,1,Meghalaya,6,female,27,regular wage/salaried employees,15000,Graduate & above,9.61580548
32832,1,Uttar Pradesh,68,male,52,casual labour,9750,below middle,9.185022564
96135,2,Uttar Pradesh,35,male,22,casual labour,3900,Secondary & higher,8.268731832
15859,1,Tripura,1,male,55,self employed,8000,below middle,8.987196821
84574,1,Andhra Pradesh,12,female,42,self employed,1,below middle,0
5165,1,Meghalaya,3,female,53,self employed,1,below middle,0
128784,2,Delhi,7,male,48,self employed,20000,Graduate & above,9.903487553
143843,2,Kerala,14,male,64,regular wage/salaried employees,70000,Graduate & above,11.15625052
105467,1,Haryana,8,male,30,regular wage/salaried employees,1300,Secondary & higher,7.170119543
93376,1,Rajasthan,15,male,40,self employed,20000,Secondary & higher,9.903487553
99853,1,Kerala,10,male,53,regular wage/salaried employees,25000,Secondary & higher,10.1266311
84944,1,Maharashtra,19,male,34,self employed,9000,below middle,9.104979856
143644,2,Delhi,7,male,37,regular wage/salaried employees,30000,Graduate & above,10.30895266
14468,2,Sikkim,4,female,26,self employed,15000,below middle,9.61580548
101016,2,Manipur,6,male,46,regular wage/salaried employees,13000,Secondary & higher,9.472704636
10660,1,Madhya Pradesh,38,male,21,self employed,8000,below middle,8.987196821
14202,2,West Bengal,11,male,46,regular wage/salaried employees,8800,below middle,9.082507
11519,2,Madhya Pradesh,23,female,44,regular wage/salaried employees,7500,below middle,8.9226583
137157,2,Andhra Pradesh,4,male,69,self employed,1,Graduate & above,0
33997,1,Karnataka,23,male,45,self employed,10000,below middle,9.210340372
99559,2,Assam,12,male,42,self employed,28500,Secondary & higher,10.25765937
124481,2,Maharashtra,21,male,56,self employed,25000,Secondary & higher,10.1266311
22729,1,Uttar Pradesh,27,male,60,self employed,6307,below middle,8.749415407
39875,2,West Bengal,7,female,49,regular wage/salaried employees,800,below middle,6.684611728
137247,2,Gujarat,7,male,35,self employed,43500,Graduate & above,10.68051622
5905,1,Chhattisgarh,6,male,80,self employed,10500,below middle,9.259130536
369,1,Rajasthan,33,female,59,self employed,1,below middle,0
132657,2,Maharashtra,21,male,35,regular wage/salaried employees,55000,Graduate & above,10.91508846
22531,1,Odisha,30,male,30,self employed,9000,below middle,9.104979856
46218,1,Tamil Nadu,7,female,25,self employed,1,below middle,0
8758,1,Uttar Pradesh,45,male,52,self employed,15000,below middle,9.61580548
105774,2,Uttar Pradesh,9,male,47,self employed,15000,Secondary & higher,9.61580548
86218,1,Uttar Pradesh,56,male,78,self employed,4500,Secondary & higher,8.411832676
9368,1,Himachal Pradesh,5,female,42,self employed,1,below middle,0
20929,1,Rajasthan,14,female,62,self employed,1,below middle,0
9484,2,West Bengal,23,male,23,self employed,10000,below middle,9.210340372
28692,1,Andhra Pradesh,11,male,34,casual labour,2036.667,below middle,7.619069927
29797,1,Uttar Pradesh,23,female,30,self employed,1,below middle,0
26672,1,Meghalaya,6,male,25,regular wage/salaried employees,6000,below middle,8.699514748
39848,2,Manipur,4,male,19,regular wage/salaried employees,6000,below middle,8.699514748
4406,1,West Bengal,19,male,50,casual labour,5416.667,below middle,8.597235961
140074,2,Maharashtra,22,male,26,regular wage/salaried employees,85000,Graduate & above,11.35040654
60592,1,Rajasthan,2,male,44,self employed,7000,below middle,8.853665428
92902,1,Karnataka,3,male,35,self employed,6500,Secondary & higher,8.779557456
76920,1,Tamil Nadu,5,female,41,casual labour,3250,below middle,8.086410275
81914,2,Gujarat,13,male,42,regular wage/salaried employees,19950,below middle,9.900984422
126325,2,Delhi,8,male,48,regular wage/salaried employees,85000,Graduate & above,11.35040654
1573,2,Telangana,23,female,36,regular wage/salaried employees,3500,below middle,8.160518247
16797,1,West Bengal,13,male,58,casual labour,2600,below middle,7.863266724
110541,2,Punjab,8,male,45,regular wage/salaried employees,18000,Secondary & higher,9.798127037
16601,2,Gujarat,25,male,43,self employed,16000,below middle,9.680344001
76715,1,Tamil Nadu,20,male,43,self employed,12000,below middle,9.392661929
129727,2,Kerala,8,male,25,regular wage/salaried employees,22000,Graduate & above,9.998797732
60550,1,Odisha,27,female,42,self employed,2500,below middle,7.824046011
57131,1,Rajasthan,8,male,27,self employed,1,below middle,0
78965,1,Uttar Pradesh,49,male,28,self employed,5000,below middle,8.517193191
29018,2,Assam,6,male,23,self employed,7000,below middle,8.853665428
21601,2,Andhra Pradesh,13,female,48,regular wage/salaried employees,6000,below middle,8.699514748
85483,2,Punjab,7,male,35,self employed,2000,Secondary & higher,7.60090246
140964,2,Andhra Pradesh,13,male,55,self employed,20000,Graduate & above,9.903487553
23493,2,Andhra Pradesh,12,female,30,self employed,1,below middle,0
71146,1,Bihar,4,male,29,self employed,6000,below middle,8.699514748
100025,2,Tripura,4,male,36,regular wage/salaried employees,6000,Secondary & higher,8.699514748
135481,2,Uttar Pradesh,43,male,34,regular wage/salaried employees,42000,Graduate & above,10.6454249
146592,2,Tamil Nadu,19,male,21,casual labour,6500,Graduate & above,8.779557456
1523,2,Andhra Pradesh,3,male,60,self employed,1,below middle,0
72642,2,Assam,23,male,32,casual labour,15166.67,below middle,9.626855536
118824,2,Tamil Nadu,1,male,32,regular wage/salaried employees,14500,Secondary & higher,9.581903928
89825,1,Maharashtra,10,male,36,casual labour,7800,Secondary & higher,8.961879013
129904,2,Tamil Nadu,2,female,56,regular wage/salaried employees,40000,Graduate & above,10.59663473
115756,1,Gujarat,3,male,20,self employed,1,Secondary & higher,0
140960,2,Andhra Pradesh,12,male,44,regular wage/salaried employees,50000,Graduate & above,10.81977828
8410,1,Bihar,9,female,45,casual labour,4550,below middle,8.422882512
1757,1,J&K,5,female,45,regular wage/salaried employees,1000,below middle,6.907755279
32969,1,Chhattisgarh,22,male,49,self employed,4650,below middle,8.444622499
137019,2,Maharashtra,21,female,26,regular wage/salaried employees,25000,Graduate & above,10.1266311
844,2,Gujarat,10,male,33,regular wage/salaried employees,12000,below middle,9.392661929
72473,2,Punjab,20,male,30,regular wage/salaried employees,7000,below middle,8.853665428
38957,1,Tamil Nadu,20,female,42,self employed,1,below middle,0
38030,2,Maharashtra,18,male,20,regular wage/salaried employees,4500,below middle,8.411832676
113218,1,Madhya Pradesh,7,male,55,self employed,10000,Secondary & higher,9.210340372
76967,1,Rajasthan,7,male,60,self employed,6500,below middle,8.779557456
121906,2,West Bengal,7,female,22,self employed,3000,Secondary & higher,8.006367568
132624,2,Chhattisgarh,7,male,54,regular wage/salaried employees,38060,Graduate & above,10.54691914
4618,1,Madhya Pradesh,6,male,50,self employed,15000,below middle,9.61580548
47307,1,J&K,12,male,42,self employed,15400,below middle,9.642122788
94130,2,Maharashtra,31,male,40,regular wage/salaried employees,35000,Secondary & higher,10.46310334
18378,1,Odisha,13,male,60,casual labour,9100,below middle,9.116029693
45827,1,Telangana,24,female,31,casual labour,5200,below middle,8.556413905
90560,1,Andhra Pradesh,6,female,39,self employed,12600,Secondary & higher,9.441452093
138512,1,Madhya Pradesh,26,male,30,self employed,1,Graduate & above,0
36657,1,Maharashtra,13,female,39,casual labour,3315,below middle,8.106212903
17034,2,J&K,10,male,62,regular wage/salaried employees,17000,below middle,9.740968623
84250,1,J&K,6,female,60,self employed,1,below middle,0
32473,2,J&K,10,male,48,casual labour,13000,below middle,9.472704636
17013,1,Rajasthan,1,male,46,self employed,12000,below middle,9.392661929
53232,2,Haryana,9,male,26,casual labour,10616.67,below middle,9.270180686
8049,2,Uttar Pradesh,15,male,20,regular wage/salaried employees,6000,below middle,8.699514748
84371,1,Uttar Pradesh,48,male,43,self employed,3000,below middle,8.006367568
92562,1,Madhya Pradesh,8,male,32,self employed,6000,Secondary & higher,8.699514748
64171,1,Tamil Nadu,29,female,44,casual labour,3250,below middle,8.086410275
62315,1,Tamil Nadu,5,male,65,self employed,16680,below middle,9.721965676
71523,1,Himachal Pradesh,2,male,67,self employed,1,below middle,0
35020,1,Gujarat,19,male,46,self employed,8000,below middle,8.987196821
34664,1,Gujarat,10,male,25,self employed,1,below middle,0
121725,2,Tamil Nadu,19,male,32,regular wage/salaried employees,12000,Secondary & higher,9.392661929
53270,1,Maharashtra,20,male,45,casual labour,6066.667,below middle,8.710564639
117300,1,Bihar,27,male,30,self employed,9500,Secondary & higher,9.159047078
133321,2,Mizoram,4,male,35,regular wage/salaried employees,20000,Graduate & above,9.903487553
97975,1,Bihar,34,male,28,self employed,9000,Secondary & higher,9.104979856
60948,2,Andhra Pradesh,4,female,36,self employed,3375,below middle,8.124150603
29321,1,Bihar,29,female,40,self employed,1,below middle,0
28084,1,West Bengal,7,male,48,self employed,8000,below middle,8.987196821
73461,2,Uttar Pradesh,26,male,26,self employed,1,below middle,0
134959,2,Maharashtra,28,male,45,regular wage/salaried employees,54000,Graduate & above,10.89673933
51439,2,Himachal Pradesh,5,female,36,regular wage/salaried employees,5500,below middle,8.612503371
27889,1,Punjab,6,male,28,self employed,25000,below middle,10.1266311
32005,1,Tamil Nadu,21,male,45,self employed,5000,below middle,8.517193191
132872,2,Telangana,23,male,55,self employed,40000,Graduate & above,10.59663473
49421,1,Himachal Pradesh,6,male,36,self employed,18550,below middle,9.828225068
99211,1,Andhra Pradesh,13,female,24,regular wage/salaried employees,8000,Secondary & higher,8.987196821
133854,2,Gujarat,19,male,45,self employed,90000,Graduate & above,11.40756495
85484,1,Andhra Pradesh,1,male,25,casual labour,4160,Secondary & higher,8.333270353
20420,1,Arunachal Pradesh,9,female,46,regular wage/salaried employees,3200,below middle,8.070906089
22544,1,Andhra Pradesh,4,female,36,casual labour,6976.667,below middle,8.850326575
78648,1,Tamil Nadu,6,male,25,casual labour,13000,below middle,9.472704636
72727,1,Meghalaya,4,male,18,casual labour,7800,below middle,8.961879013
33242,1,Maharashtra,26,male,19,casual labour,7583.333,below middle,8.933708092
5471,1,Assam,4,male,32,casual labour,9100,below middle,9.116029693
143673,2,Maharashtra,24,female,32,self employed,1,Graduate & above,0
129252,2,West Bengal,12,female,33,regular wage/salaried employees,25000,Graduate & above,10.1266311
71648,1,Gujarat,5,female,45,regular wage/salaried employees,7000,below middle,8.853665428
87914,2,Bihar,32,male,35,regular wage/salaried employees,8000,Secondary & higher,8.987196821
96890,1,Assam,19,male,40,self employed,10000,Secondary & higher,9.210340372
7039,2,Maharashtra,22,male,46,regular wage/salaried employees,1,below middle,0
117267,2,Madhya Pradesh,3,male,30,self employed,12000,Secondary & higher,9.392661929
36404,2,Telangana,23,male,59,self employed,6000,below middle,8.699514748
118973,1,Maharashtra,4,male,40,casual labour,4333.333,Secondary & higher,8.374092271
51847,2,Chhattisgarh,3,male,21,casual labour,9100,below middle,9.116029693
136380,2,Maharashtra,20,male,48,regular wage/salaried employees,22000,Graduate & above,9.998797732
117833,2,Tamil Nadu,25,male,33,casual labour,10833.33,Secondary & higher,9.290382772
20146,1,Bihar,37,female,28,casual labour,7583.333,below middle,8.933708092
56006,1,West Bengal,7,male,60,self employed,3000,below middle,8.006367568
124309,1,J&K,4,male,32,regular wage/salaried employees,35000,Secondary & higher,10.46310334
40989,2,Meghalaya,6,female,35,self employed,500,below middle,6.214608098
82128,1,Rajasthan,6,female,22,self employed,1,below middle,0
71314,1,Tamil Nadu,27,male,32,casual labour,8666.667,below middle,9.067239567
40776,1,Uttrakhand,8,male,51,self employed,6500,below middle,8.779557456
61880,1,Uttar Pradesh,65,male,44,self employed,8500,below middle,9.047821442
8467,2,Maharashtra,4,male,56,self employed,26000,below middle,10.16585182
101608,1,Uttar Pradesh,63,male,24,self employed,1,Secondary & higher,0
36179,1,Assam,24,male,20,self employed,1,below middle,0
25225,1,Maharashtra,24,male,38,self employed,10000,below middle,9.210340372
95412,2,Tamil Nadu,26,male,16,casual labour,10400,Secondary & higher,9.249561085
82204,2,J&K,10,female,45,self employed,1500,below middle,7.313220387
68187,1,Telangana,16,male,36,self employed,11000,below middle,9.305650552
37075,1,Tamil Nadu,5,male,22,casual labour,4333.333,below middle,8.374092271
6649,2,Uttar Pradesh,53,female,52,self employed,25000,below middle,10.1266311
64197,1,West Bengal,2,male,20,casual labour,1300,below middle,7.170119543
21069,2,Nagaland,10,male,50,regular wage/salaried employees,7000,below middle,8.853665428
143337,2,Kerala,10,female,35,self employed,1000,Graduate & above,6.907755279
123927,2,West Bengal,12,male,26,self employed,6000,Secondary & higher,8.699514748
99751,2,Chhattisgarh,10,male,25,regular wage/salaried employees,7850,Secondary & higher,8.968268811
25805,1,Andhra Pradesh,7,male,52,casual labour,9100,below middle,9.116029693
29434,1,West Bengal,9,male,53,casual labour,7886.667,below middle,8.972928891
144435,1,A & N Island,2,male,26,regular wage/salaried employees,34528,Graduate & above,10.44952587
36553,1,Kerala,10,male,60,self employed,1,below middle,0
58866,1,Uttrakhand,13,male,25,casual labour,9100,below middle,9.116029693
120508,1,Tamil Nadu,26,female,25,regular wage/salaried employees,5000,Secondary & higher,8.517193191
113562,1,Madhya Pradesh,36,male,27,self employed,1,Secondary & higher,0
81735,1,Maharashtra,25,female,50,self employed,1,below middle,0
99001,2,Gujarat,25,male,25,self employed,1,Secondary & higher,0
141271,1,West Bengal,9,male,25,self employed,1,Graduate & above,0
45986,1,West Bengal,3,male,25,casual labour,6500,below middle,8.779557456
74955,1,Maharashtra,17,female,34,self employed,5000,below middle,8.517193191
57631,2,Rajasthan,25,male,16,regular wage/salaried employees,5000,below middle,8.517193191
90982,1,Jharkhand,17,female,19,self employed,1,Secondary & higher,0
100368,2,Madhya Pradesh,27,male,47,self employed,8000,Secondary & higher,8.987196821
61404,2,West Bengal,23,male,56,regular wage/salaried employees,7000,below middle,8.853665428
39697,1,Manipur,5,female,50,self employed,10000,below middle,9.210340372
20415,1,Odisha,8,male,28,self employed,1,below middle,0
119411,2,Uttrakhand,5,male,29,regular wage/salaried employees,15000,Secondary & higher,9.61580548
24248,1,Karnataka,13,male,65,self employed,4000,below middle,8.29404964
128733,2,Andhra Pradesh,13,male,30,regular wage/salaried employees,6000,Graduate & above,8.699514748
32487,1,J&K,14,male,24,casual labour,7800,below middle,8.961879013
96383,1,Uttar Pradesh,5,male,35,casual labour,10616.67,Secondary & higher,9.270180686
77622,2,Tamil Nadu,28,male,40,casual labour,8666.667,below middle,9.067239567
99055,1,Odisha,1,female,36,self employed,1,Secondary & higher,0
127050,2,Jharkhand,12,male,29,regular wage/salaried employees,22000,Graduate & above,9.998797732
146168,2,Uttar Pradesh,44,male,56,self employed,8000,Graduate & above,8.987196821
88819,1,Chhattisgarh,19,male,35,casual labour,953.3333,Secondary & higher,6.85996458
119628,1,Karnataka,17,male,45,casual labour,10833.33,Secondary & higher,9.290382772
38292,2,Madhya Pradesh,22,male,24,regular wage/salaried employees,12000,below middle,9.392661929
30435,1,A & N Island,3,male,45,regular wage/salaried employees,40000,below middle,10.59663473
90200,1,Meghalaya,2,male,58,regular wage/salaried employees,39728,Secondary & higher,10.58981151
144700,1,Karnataka,1,male,26,self employed,7000,Graduate & above,8.853665428
11707,2,Maharashtra,19,male,30,regular wage/salaried employees,18000,below middle,9.798127037
7222,1,Karnataka,4,male,63,self employed,10300,below middle,9.239899174
55880,1,Bihar,21,male,55,self employed,10000,below middle,9.210340372
110212,1,Karnataka,17,male,21,self employed,8500,Secondary & higher,9.047821442
69413,2,J&K,10,male,34,regular wage/salaried employees,12000,below middle,9.392661929
9377,1,Kerala,6,male,22,self employed,10000,below middle,9.210340372
67279,1,Meghalaya,7,male,25,casual labour,7800,below middle,8.961879013
86344,2,Uttar Pradesh,12,male,24,self employed,7000,Secondary & higher,8.853665428
43634,2,Manipur,4,male,48,casual labour,4550,below middle,8.422882512
93444,1,Uttrakhand,1,male,34,self employed,1,Secondary & higher,0
71046,2,Rajasthan,21,male,42,regular wage/salaried employees,7000,below middle,8.853665428
64612,2,Uttar Pradesh,14,male,35,regular wage/salaried employees,24000,below middle,10.08580911
102881,2,Rajasthan,32,female,55,regular wage/salaried employees,22000,Secondary & higher,9.998797732
40927,1,West Bengal,9,male,58,self employed,1,below middle,0
42097,1,West Bengal,18,male,30,regular wage/salaried employees,5500,below middle,8.612503371
32866,2,Puducherry,2,male,74,self employed,18000,below middle,9.798127037
119860,1,Haryana,10,male,54,self employed,12100,Secondary & higher,9.400960732
121803,1,West Bengal,2,male,31,self employed,9000,Secondary & higher,9.104979856
96540,1,Odisha,26,male,41,casual labour,6500,Secondary & higher,8.779557456
60320,1,Odisha,27,female,33,self employed,1,below middle,0
19305,1,Karnataka,1,male,17,casual labour,6933.333,below middle,8.844095929
37575,2,Karnataka,3,female,38,self employed,1,below middle,0
60914,1,Tamil Nadu,6,male,42,casual labour,4333.333,below middle,8.374092271
10056,1,Madhya Pradesh,40,male,33,casual labour,6066.667,below middle,8.710564639
22913,1,Odisha,3,female,22,casual labour,7583.333,below middle,8.933708092
69539,1,Tripura,1,female,35,self employed,3000,below middle,8.006367568
1217,1,West Bengal,1,male,65,self employed,2000,below middle,7.60090246
17536,1,Chhattisgarh,4,female,43,regular wage/salaried employees,8000,below middle,8.987196821
48090,1,Jharkhand,9,male,41,casual labour,9100,below middle,9.116029693
107327,2,Tamil Nadu,9,male,78,self employed,1,Secondary & higher,0
16045,1,Bihar,34,male,45,self employed,10000,below middle,9.210340372
20268,1,Andhra Pradesh,11,male,42,casual labour,6066.667,below middle,8.710564639
117029,2,Kerala,7,male,54,self employed,18000,Secondary & higher,9.798127037
13196,2,West Bengal,17,male,46,regular wage/salaried employees,8500,below middle,9.047821442
81642,2,Rajasthan,6,female,46,regular wage/salaried employees,4000,below middle,8.29404964
84876,2,Madhya Pradesh,34,female,61,self employed,1,below middle,0
78109,1,Uttar Pradesh,31,male,75,self employed,6000,below middle,8.699514748
132850,2,Maharashtra,22,female,45,regular wage/salaried employees,30000,Graduate & above,10.30895266
51218,1,Uttar Pradesh,26,male,27,self employed,4000,below middle,8.29404964
144780,2,Delhi,3,male,38,regular wage/salaried employees,55000,Graduate & above,10.91508846
86557,1,Odisha,22,male,23,self employed,12000,Secondary & higher,9.392661929
29107,1,Assam,14,male,55,self employed,10000,below middle,9.210340372
81368,1,Punjab,13,male,65,self employed,4500,below middle,8.411832676
38586,2,Andhra Pradesh,3,female,55,self employed,1,below middle,0
73489,1,Karnataka,23,male,38,self employed,1,below middle,0
51030,1,Andhra Pradesh,5,female,38,casual labour,3466.667,below middle,8.150948893
43847,1,Arunachal Pradesh,9,male,55,self employed,15000,below middle,9.61580548
23104,1,Himachal Pradesh,4,male,44,self employed,9600,below middle,9.169518377
129101,2,Mizoram,3,male,40,regular wage/salaried employees,60000,Graduate & above,11.00209984
132586,1,Tamil Nadu,4,male,45,regular wage/salaried employees,35000,Graduate & above,10.46310334
483,2,Maharashtra,13,male,58,regular wage/salaried employees,29000,below middle,10.27505111
42433,2,Jharkhand,4,male,56,self employed,7200,below middle,8.881836305
81621,2,Jharkhand,12,male,52,self employed,10500,below middle,9.259130536
92527,2,Maharashtra,34,male,30,casual labour,10400,Secondary & higher,9.249561085
86017,1,Maharashtra,3,male,33,self employed,20000,Secondary & higher,9.903487553
132591,2,Chandigarh,1,male,30,regular wage/salaried employees,25000,Graduate & above,10.1266311
35179,2,West Bengal,12,female,30,regular wage/salaried employees,1500,below middle,7.313220387
135064,2,Odisha,6,male,51,regular wage/salaried employees,25000,Graduate & above,10.1266311
35685,2,J&K,10,female,35,regular wage/salaried employees,3000,below middle,8.006367568
9115,1,Maharashtra,21,female,18,regular wage/salaried employees,7000,below middle,8.853665428
125514,1,Tamil Nadu,17,male,23,regular wage/salaried employees,5000,Graduate & above,8.517193191
29897,1,Chhattisgarh,12,male,59,self employed,7250,below middle,8.888756748
108179,1,Sikkim,1,male,23,regular wage/salaried employees,10500,Secondary & higher,9.259130536
137640,2,Madhya Pradesh,30,male,52,regular wage/salaried employees,54900,Graduate & above,10.91326863
136594,1,Assam,25,male,28,regular wage/salaried employees,20000,Graduate & above,9.903487553
58282,2,Kerala,11,male,46,regular wage/salaried employees,1,below middle,0
139977,1,Rajasthan,14,male,25,regular wage/salaried employees,7000,Graduate & above,8.853665428
98066,2,Maharashtra,8,female,32,regular wage/salaried employees,5000,Secondary & higher,8.517193191
133142,2,Chhattisgarh,11,male,35,regular wage/salaried employees,6000,Graduate & above,8.699514748
88640,2,Tripura,1,male,27,regular wage/salaried employees,8500,Secondary & higher,9.047821442
21953,1,Haryana,19,male,19,casual labour,12133.33,below middle,9.40371149
135203,1,Manipur,1,male,59,regular wage/salaried employees,35000,Graduate & above,10.46310334
95823,1,Goa,1,female,58,self employed,1,Secondary & higher,0
87545,1,Odisha,23,male,28,casual labour,6066.667,Secondary & higher,8.710564639
71836,2,Uttar Pradesh,5,male,45,self employed,12000,below middle,9.392661929
14671,2,Mizoram,4,female,42,self employed,8000,below middle,8.987196821
36653,2,A & N Island,3,male,40,self employed,11000,below middle,9.305650552
24481,1,Andhra Pradesh,5,male,60,self employed,12000,below middle,9.392661929
68009,1,Himachal Pradesh,9,female,52,self employed,2500,below middle,7.824046011
46515,1,Punjab,13,male,52,self employed,5000,below middle,8.517193191
62561,2,Tamil Nadu,27,male,50,self employed,15000,below middle,9.61580548
8383,2,Telangana,23,female,58,self employed,2500,below middle,7.824046011
137676,1,Rajasthan,18,male,55,regular wage/salaried employees,18000,Graduate & above,9.798127037
134612,2,Manipur,8,male,29,regular wage/salaried employees,25000,Graduate & above,10.1266311
139941,1,Tamil Nadu,12,female,38,regular wage/salaried employees,17000,Graduate & above,9.740968623
132158,2,Gujarat,7,female,41,regular wage/salaried employees,5000,Graduate & above,8.517193191
40134,2,West Bengal,11,male,30,regular wage/salaried employees,8000,below middle,8.987196821
12089,2,Bihar,12,male,50,casual labour,6066.667,below middle,8.710564639
32169,1,Maharashtra,10,male,55,self employed,25000,below middle,10.1266311
85637,1,Karnataka,1,male,40,self employed,9500,Secondary & higher,9.159047078
55268,1,Chhattisgarh,9,male,22,casual labour,7583.333,below middle,8.933708092
98103,1,Tripura,1,female,32,self employed,900,Secondary & higher,6.802394763
56163,1,Chhattisgarh,24,male,53,self employed,7500,below middle,8.9226583
32222,2,Tamil Nadu,9,male,70,self employed,18000,below middle,9.798127037
55770,1,Tripura,2,male,54,self employed,3000,below middle,8.006367568
111463,1,Madhya Pradesh,26,male,30,self employed,1,Secondary & higher,0
33957,2,Karnataka,25,female,17,self employed,3700,below middle,8.216088099
28171,1,Tamil Nadu,12,male,59,self employed,15000,below middle,9.61580548
92477,2,Sikkim,4,male,48,regular wage/salaried employees,25000,Secondary & higher,10.1266311
47675,2,Gujarat,13,male,36,regular wage/salaried employees,25950,below middle,10.16392689
2950,1,Karnataka,1,male,65,self employed,5000,below middle,8.517193191
21047,2,Goa,1,male,40,self employed,42000,below middle,10.6454249
139615,1,Haryana,2,male,20,regular wage/salaried employees,11200,Graduate & above,9.323669057
130289,1,Tamil Nadu,1,male,33,regular wage/salaried employees,15000,Graduate & above,9.61580548
131105,1,Tamil Nadu,20,male,28,self employed,1,Graduate & above,0
32510,2,Manipur,5,female,34,self employed,5000,below middle,8.517193191
973,1,West Bengal,9,male,58,self employed,15000,below middle,9.61580548
79505,1,Uttar Pradesh,2,male,35,self employed,18500,below middle,9.825526011
140164,2,Madhya Pradesh,27,male,32,regular wage/salaried employees,30000,Graduate & above,10.30895266
34971,2,Rajasthan,12,female,38,self employed,1,below middle,0
3457,1,Karnataka,17,female,48,casual labour,3466.667,below middle,8.150948893
62261,1,Tamil Nadu,8,female,50,casual labour,9100,below middle,9.116029693
75478,2,Uttar Pradesh,7,male,50,self employed,18000,below middle,9.798127037
72311,1,Tamil Nadu,16,male,28,casual labour,4333.333,below middle,8.374092271
110059,1,Assam,11,male,40,regular wage/salaried employees,3600,Secondary & higher,8.188689124
81653,2,Uttar Pradesh,16,male,55,self employed,16000,below middle,9.680344001
84949,2,Maharashtra,30,male,28,self employed,10000,below middle,9.210340372
22819,1,Bihar,35,male,45,self employed,7500,below middle,8.9226583
50029,1,Rajasthan,8,male,50,self employed,8000,below middle,8.987196821
19983,2,Uttar Pradesh,63,female,42,self employed,15000,below middle,9.61580548
19950,1,Karnataka,17,male,55,casual labour,6500,below middle,8.779557456
67627,1,Odisha,21,female,50,self employed,1500,below middle,7.313220387
23546,1,West Bengal,18,male,35,self employed,6000,below middle,8.699514748
29199,1,J&K,19,female,47,self employed,1,below middle,0
125096,1,Uttar Pradesh,66,female,30,self employed,1,Graduate & above,0
34960,1,Karnataka,29,male,37,self employed,20000,below middle,9.903487553
70830,2,Odisha,17,male,56,self employed,10000,below middle,9.210340372
76318,2,Gujarat,18,female,38,self employed,1,below middle,0
27435,2,West Bengal,9,male,40,regular wage/salaried employees,7500,below middle,8.9226583
94936,2,Kerala,7,female,46,regular wage/salaried employees,5000,Secondary & higher,8.517193191
128623,1,Andhra Pradesh,6,male,38,regular wage/salaried employees,16500,Graduate & above,9.71111566
85052,1,Tripura,3,male,63,regular wage/salaried employees,2000,below middle,7.60090246
129354,2,Punjab,3,male,35,regular wage/salaried employees,20000,Graduate & above,9.903487553
146480,2,Delhi,4,female,28,regular wage/salaried employees,15000,Graduate & above,9.61580548
122197,1,J&K,14,male,40,self employed,19200,Secondary & higher,9.862665558
143351,2,Kerala,7,male,36,regular wage/salaried employees,42000,Graduate & above,10.6454249
129334,2,Delhi,7,male,58,regular wage/salaried employees,35000,Graduate & above,10.46310334
38377,2,Tamil Nadu,20,male,58,self employed,22000,below middle,9.998797732
42244,1,Andhra Pradesh,11,male,26,self employed,4500,below middle,8.411832676
41395,1,West Bengal,17,male,45,self employed,10000,below middle,9.210340372
28994,1,Haryana,11,female,63,self employed,3500,below middle,8.160518247
65885,2,J&K,10,male,38,self employed,8000,below middle,8.987196821
56822,1,Rajasthan,2,male,48,self employed,10000,below middle,9.210340372
116086,1,Gujarat,23,female,22,self employed,1,Secondary & higher,0
95185,2,Kerala,6,male,29,self employed,18000,Secondary & higher,9.798127037
23800,1,Andhra Pradesh,6,male,35,self employed,16000,below middle,9.680344001
6148,1,Jharkhand,7,male,53,self employed,1250,below middle,7.13089883
30566,2,Odisha,17,male,51,self employed,25000,below middle,10.1266311
70477,1,Meghalaya,5,male,28,casual labour,7800,below middle,8.961879013
143482,1,Andhra Pradesh,6,female,45,regular wage/salaried employees,18000,Graduate & above,9.798127037
1838,1,Bihar,20,male,63,self employed,11000,below middle,9.305650552
48758,1,Uttar Pradesh,66,male,42,self employed,3100,below middle,8.03915739
86045,2,Uttar Pradesh,34,male,31,regular wage/salaried employees,9500,Secondary & higher,9.159047078
100730,2,Bihar,28,male,27,casual labour,10616.67,Secondary & higher,9.270180686
21381,1,West Bengal,10,male,53,self employed,8000,below middle,8.987196821
33602,1,Assam,15,male,46,self employed,12000,below middle,9.392661929
105861,2,Maharashtra,21,female,22,regular wage/salaried employees,12000,Secondary & higher,9.392661929
32620,1,Karnataka,12,male,22,casual labour,6066.667,below middle,8.710564639
110764,2,West Bengal,10,male,50,self employed,48500,Secondary & higher,10.78931908
60976,2,Mizoram,4,female,50,self employed,1,below middle,0
9617,1,Andhra Pradesh,9,male,45,self employed,14600,below middle,9.588776808
123137,2,Gujarat,19,female,36,regular wage/salaried employees,12000,Secondary & higher,9.392661929
56453,1,J&K,13,male,42,self employed,12000,below middle,9.392661929
124982,2,Telangana,1,male,40,self employed,17000,Secondary & higher,9.740968623
58643,1,Gujarat,16,male,23,self employed,3500,below middle,8.160518247
105150,1,Haryana,2,male,35,self employed,9100,Secondary & higher,9.116029693
79320,1,Haryana,11,male,30,self employed,5500,below middle,8.612503371
103061,1,Rajasthan,26,male,26,casual labour,9100,Secondary & higher,9.116029693
114225,2,Gujarat,7,male,35,regular wage/salaried employees,13000,Secondary & higher,9.472704636
